"Appareil";"Nom=";"6100 PORTABLE";;"Numéro de série=";"8480381";;"Version de logiciel=";"5.7"
;"Adresse MAC=";"00:0A:8D:81:66:7D";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 1"
"TC1";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC2";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC3";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC4";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC5";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC6";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC7";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC8";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC9";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC10";"Bas=";0,00;"Haut=";550,00;"Unités=";"°C"
"TC11";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC12";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC13";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC14";"Bas=";-35,00;"Haut=";550,00;"Unités=";"°C"
"TC15";"Bas=";-35,00;"Haut=";550,00;"Unités=";"°C"
"Date/Heure";;"TC1";"TC2";"TC3";"TC4";"TC5";"TC6";"TC7";"TC8";"TC9";"TC10";"TC11";"TC12";"TC13";"TC14";"TC15"
;;"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C"
"07/02/24 08:12:07.625";"07/02/24 08:12:07 Mise sous tension"
"07/02/24 08:12:07.625";"07/02/24 08:12:07 Version de config:561 Version de sécurité:1"
"07/02/24 08:12:08.375";"07/02/24 08:12:08 Stockage actif"
"07/02/24 08:13:00";;11,96;11,84;11,85;11,84;12,30;12,34;12,42;12,71;13,33;12,66;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:14:00";;15,16;14,20;13,80;14,06;14,40;15,87;15,76;14,12;16,88;13,86;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:15:00";;18,93;17,46;16,68;17,01;17,82;19,83;19,70;17,17;21,60;16,79;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:16:00";;22,76;20,43;19,57;20,16;21,36;23,76;23,61;20,22;26,05;20,01;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:17:00";;26,45;23,26;22,51;23,17;24,73;27,54;27,36;23,18;30,14;23,13;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:18:00";;29,68;26,69;25,16;26,04;27,90;31,03;30,71;26,49;33,99;25,94;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:19:00";;33,04;30,18;27,96;28,86;31,00;34,34;33,92;29,38;37,44;29,11;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:20:00";;35,84;33,02;30,35;31,39;33,78;37,31;36,74;31,97;40,65;31,62;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:21:00";;38,52;34,89;32,82;34,03;36,45;40,02;39,46;34,16;43,42;33,85;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:22:00";;41,21;37,91;34,86;36,04;38,85;42,63;41,93;36,89;45,98;36,23;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:23:00";;43,32;39,11;37,35;38,26;41,06;44,82;44,09;38,97;48,24;38,54;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:24:00";;45,50;42,91;39,15;40,22;43,20;47,04;46,15;41,23;50,68;39,94;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:25:00";;47,41;43,40;41,11;42,07;44,99;48,93;48,19;43,05;52,35;42,05;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:26:00";;49,31;45,98;42,64;43,39;46,71;50,71;49,91;44,67;54,32;43,96;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:27:00";;50,94;46,80;44,30;44,97;48,39;52,40;51,64;45,90;56,17;45,36;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:28:00";;52,48;48,31;45,80;46,80;50,01;54,00;53,35;48,16;57,86;46,45;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:29:00";;53,90;50,02;47,06;48,08;51,46;55,44;54,57;49,00;59,40;48,39;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:30:00";;55,39;51,53;48,36;49,58;52,98;56,84;56,04;50,95;60,49;50,30;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:31:00";;56,76;53,27;49,77;51,01;54,37;58,32;57,40;52,08;61,82;51,31;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:32:00";;57,91;54,25;51,17;52,51;55,58;59,44;58,64;53,49;63,04;52,45;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:33:00";;59,14;55,26;52,03;53,26;56,62;60,55;59,91;54,43;64,11;53,85;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:34:00";;58,43;54,83;52,26;53,49;56,62;59,45;58,73;54,73;62,12;54,03;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:35:00";;57,49;54,53;51,57;52,78;55,74;58,62;57,94;53,93;61,34;53,22;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:36:00";;58,34;55,27;52,37;53,58;56,33;59,66;59,08;54,74;62,70;53,34;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:37:00";;59,57;56,10;53,57;54,59;57,53;60,83;60,21;55,29;64,05;54,74;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:38:00";;59,52;56,12;53,66;54,99;57,92;60,50;59,84;56,42;63,10;55,36;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:39:00";;58,10;54,95;52,94;54,21;56,62;59,00;58,44;55,21;61,42;54,46;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:40:00";;58,67;54,38;53,09;54,71;56,99;59,83;59,21;55,31;62,58;54,59;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:41:00";;59,89;57,40;54,27;55,65;57,97;61,19;60,51;55,99;64,28;55,68;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:42:00";;60,03;56,88;54,64;55,79;58,56;60,88;60,44;56,98;63,33;56,09;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:43:00";;58,35;55,71;53,59;54,86;57,24;59,23;58,65;55,74;61,24;55,30;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:44:00";;58,73;55,99;53,56;55,26;57,32;59,79;59,29;56,15;62,38;55,28;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:45:00";;60,12;56,88;54,68;55,96;58,47;61,24;60,90;56,54;64,16;56,11;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:46:00";;60,30;57,22;55,27;56,61;59,03;61,23;60,71;57,23;63,51;56,82;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:47:00";;58,68;55,79;54,16;55,40;57,54;59,42;58,95;56,33;61,30;55,72;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:48:00";;59,00;56,16;54,16;55,51;57,48;60,02;59,53;56,07;62,46;55,27;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:49:00";;60,34;57,36;55,01;56,43;58,79;61,46;61,04;57,06;64,27;56,48;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:50:00";;60,31;58,16;55,58;56,86;59,21;61,15;60,67;57,64;63,30;56,97;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:51:00";;58,81;56,34;54,29;55,76;57,74;59,53;59,12;56,24;61,40;55,85;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:52:00";;59,31;56,52;54,64;55,94;57,92;60,31;59,86;56,29;62,73;55,92;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:53:00";;60,70;58,17;55,74;56,97;59,13;61,85;61,37;57,55;64,58;57,09;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:54:00";;60,35;57,75;55,75;57,17;59,33;61,10;60,74;57,96;63,11;57,18;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:55:00";;58,78;56,19;54,68;56,25;57,87;59,53;59,05;56,60;61,30;56,34;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:56:00";;59,41;56,76;54,79;56,10;58,09;60,34;59,85;56,45;62,73;56,24;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:57:00";;60,82;58,04;55,65;57,28;59,34;62,05;61,44;57,98;64,77;57,08;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:58:00";;60,70;58,46;56,18;57,45;59,59;61,39;60,84;58,23;63,34;57,42;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:59:00";;58,97;56,72;54,88;56,26;58,15;59,80;59,29;57,16;61,49;56,47;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:00:00";;59,60;56,68;54,98;56,52;58,22;60,51;60,11;56,74;62,88;56,38;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:01:00";;61,00;58,14;56,09;57,64;59,64;62,05;61,60;57,81;64,70;57,41;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:02:00";;60,34;57,92;55,84;57,61;59,51;61,08;60,72;58,20;62,99;57,42;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:03:00";;58,98;57,28;54,94;56,47;58,06;59,74;59,29;56,90;61,49;56,48;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:04:00";;59,83;57,95;55,36;56,65;58,47;60,73;60,36;56,87;63,19;56,53;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:05:00";;61,27;58,80;56,32;57,80;59,82;62,32;61,84;58,33;64,85;57,37;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:06:00";;59,87;57,39;55,83;57,38;59,17;60,54;60,06;57,60;62,26;57,28;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:07:00";;59,06;56,37;55,14;56,57;58,15;59,91;59,48;56,50;61,78;56,40;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:08:00";;60,25;57,25;55,59;57,16;58,89;61,24;60,85;57,69;63,71;56,79;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:09:00";;61,35;57,82;56,71;58,23;60,12;62,17;61,85;58,04;64,57;58,04;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:10:00";;59,55;57,37;55,56;57,17;58,85;60,04;59,58;57,78;61,54;57,33;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:11:00";;59,26;57,28;55,05;56,78;58,29;60,09;59,71;56,99;62,18;56,46;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:12:00";;60,75;57,81;55,92;57,47;59,31;61,69;61,21;57,66;64,20;57,37;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:13:00";;60,98;58,77;56,59;58,09;59,97;61,76;61,28;58,61;63,65;57,90;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:14:00";;59,40;56,80;55,44;57,01;58,56;60,03;59,63;57,66;61,70;56,98;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:15:00";;59,80;57,17;55,40;56,92;58,63;60,66;60,28;57,23;62,86;56,70;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:16:00";;61,20;58,13;56,46;58,10;59,83;62,22;61,94;58,38;64,80;57,86;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:17:00";;60,59;58,16;56,49;57,80;59,73;61,19;60,81;58,49;62,83;57,93;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:18:00";;59,17;57,28;55,27;56,90;58,39;59,97;59,52;57,23;61,70;56,64;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:19:00";;60,18;57,62;55,84;57,34;58,96;61,14;60,75;57,66;63,50;57,16;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:20:00";;61,52;59,17;56,79;58,59;60,24;62,50;62,02;58,80;64,81;58,27;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:21:00";;60,01;57,65;56,03;57,76;59,42;60,52;60,18;58,45;62,14;57,65;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:22:00";;59,27;57,29;55,37;56,90;58,32;60,03;59,52;57,27;61,84;56,63;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:23:00";;60,54;57,71;56,01;57,75;59,14;61,47;61,02;58,07;63,85;57,34;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:24:00";;61,37;58,16;56,73;58,42;60,28;62,19;61,79;59,12;64,40;58,14;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:25:00";;59,68;57,32;55,84;57,37;58,93;60,29;59,84;57,88;61,73;57,55;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:26:00";;59,58;57,64;55,44;57,04;58,51;60,37;59,92;57,58;62,48;56,93;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:27:00";;61,03;58,18;56,46;57,95;59,65;61,96;61,57;58,34;64,50;57,85;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:28:00";;60,94;58,57;56,67;58,11;60,17;61,68;61,34;58,53;63,54;58,43;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 09:29:00";;46,60;41,72;46,60;48,12;48,78;44,44;39,58;48,46;42,00;47,99;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
